"Game"	"Genre"	"Platform"	"Score"
"Puyo Puyo Tetris"	"NA"	"NS"	"8.7"
"Mario Kart 8 Deluxe"	"NA"	"NS"	"9.3"
"Wonder Boy: The Dragon's Trap"	"NA"	"NS"	"7.1"
"Graceful Explosion Machine"	"NA"	"NS"	"8"
"Mr. Shifty"	"NA"	"NS"	"6.2"
"The Binding of Isaac: Afterbirth +"	"NA"	"NS"	"9"
"Blaster Master Zero"	"NA"	"NS"	"7"
"Fast RMX"	"NA"	"NS"	"7.4"
"Shovel Knight: Treasure Trove"	"NA"	"NS"	"9"
"Snipperclips - Cut it out, together!"	"NA"	"NS"	"8"
"Super Bomberman R"	"NA"	"NS"	"6.2"
"Skylanders Imaginators"	"NA"	"NS"	"6.8"
"Just Dance 2017"	"NA"	"NS"	"7"
"The Legend of Zelda: Breath of the Wild"	"NA"	"NS"	"10"
"1-2-Switch"	"NA"	"NS"	"6.8"
